Entity,Code,Day,Monthly concentration of atmospheric methane,Rolling yearly average of the concentration of atmospheric methane
World,OWID_WRL,1983-07-15,1625.96,
World,OWID_WRL,1983-08-15,1628.05,
World,OWID_WRL,1983-09-15,1638.43,
World,OWID_WRL,1983-10-15,1644.8,
World,OWID_WRL,1983-11-15,1642.61,
World,OWID_WRL,1983-12-15,1639.54,
World,OWID_WRL,1984-01-15,1638.73,
World,OWID_WRL,1984-02-15,1638.82,
World,OWID_WRL,1984-03-15,1640.87,
World,OWID_WRL,1984-04-15,1643.96,
World,OWID_WRL,1984-05-15,1643.14,
World,OWID_WRL,1984-06-15,1639.75,1638.7217
World,OWID_WRL,1984-07-15,1638,1639.725
World,OWID_WRL,1984-08-15,1641.69,1640.8617
World,OWID_WRL,1984-09-15,1650.61,1641.8767
World,OWID_WRL,1984-10-15,1654.59,1642.6925
World,OWID_WRL,1984-11-15,1653.78,1643.6233
World,OWID_WRL,1984-12-15,1656.2,1645.0116
World,OWID_WRL,1985-01-15,1655.6,1646.4175
World,OWID_WRL,1985-02-15,1652.24,1647.5358
World,OWID_WRL,1985-03-15,1654.62,1648.6816
World,OWID_WRL,1985-04-15,1658.18,1649.8667
World,OWID_WRL,1985-05-15,1655.87,1650.9275
World,OWID_WRL,1985-06-15,1650.06,1651.7866
World,OWID_WRL,1985-07-15,1646.81,1652.5209
World,OWID_WRL,1985-08-15,1652.24,1653.4
World,OWID_WRL,1985-09-15,1662.49,1654.39
World,OWID_WRL,1985-10-15,1667.5,1655.4658
World,OWID_WRL,1985-11-15,1666.81,1656.5516
World,OWID_WRL,1985-12-15,1666.05,1657.3726
World,OWID_WRL,1986-01-15,1666.28,1658.2626
World,OWID_WRL,1986-02-15,1666.92,1659.4858
World,OWID_WRL,1986-03-15,1669.27,1660.7067
World,OWID_WRL,1986-04-15,1670.79,1661.7576
World,OWID_WRL,1986-05-15,1668.44,1662.805
World,OWID_WRL,1986-06-15,1664.78,1664.0317
World,OWID_WRL,1986-07-15,1662.33,1665.325
World,OWID_WRL,1986-08-15,1664.37,1666.3358
World,OWID_WRL,1986-09-15,1672.58,1667.1766
World,OWID_WRL,1986-10-15,1678.67,1668.1075
World,OWID_WRL,1986-11-15,1678.98,1669.1217
World,OWID_WRL,1986-12-15,1679.11,1670.21
World,OWID_WRL,1987-01-15,1679.39,1671.3025
World,OWID_WRL,1987-02-15,1679.03,1672.3116
World,OWID_WRL,1987-03-15,1680.02,1673.2075
World,OWID_WRL,1987-04-15,1681.33,1674.0858
World,OWID_WRL,1987-05-15,1681.84,1675.2025
World,OWID_WRL,1987-06-15,1680,1676.4708
World,OWID_WRL,1987-07-15,1675.96,1677.6067
World,OWID_WRL,1987-08-15,1677.16,1678.6725
World,OWID_WRL,1987-09-15,1685.59,1679.7567
World,OWID_WRL,1987-10-15,1691.57,1680.8317
World,OWID_WRL,1987-11-15,1691.17,1681.8475
World,OWID_WRL,1987-12-15,1690.49,1682.7958
World,OWID_WRL,1988-01-15,1692.03,1683.8491
World,OWID_WRL,1988-02-15,1692.62,1684.9817
World,OWID_WRL,1988-03-15,1691.37,1685.9275
World,OWID_WRL,1988-04-15,1690.1,1686.6583
World,OWID_WRL,1988-05-15,1689.1,1687.2633
World,OWID_WRL,1988-06-15,1687.17,1687.8608
World,OWID_WRL,1988-07-15,1686,1688.6975
World,OWID_WRL,1988-08-15,1689.44,1689.7208
World,OWID_WRL,1988-09-15,1696.12,1690.5984
World,OWID_WRL,1988-10-15,1701.14,1691.3959
World,OWID_WRL,1988-11-15,1702.85,1692.3691
World,OWID_WRL,1988-12-15,1701.92,1693.3217
World,OWID_WRL,1989-01-15,1700.53,1694.03
World,OWID_WRL,1989-02-15,1701.08,1694.735
World,OWID_WRL,1989-03-15,1702.47,1695.66
World,OWID_WRL,1989-04-15,1703.58,1696.7833
World,OWID_WRL,1989-05-15,1703.37,1697.9725
World,OWID_WRL,1989-06-15,1700.21,1699.0592
