Entity,Code,Year,2020s,2010s,2000s,1990s,1980s,1970s,1960s,1950s,1940s
Afghanistan,AFG,1,0.12126068,1.1303923,-0.3096822,-0.6654364,-0.71842873,-1.4575795,-1.03953,-1.2892629,-1.3335403
Afghanistan,AFG,2,2.0850484,0.049935173,0.3918975,-0.7522838,-1.1384084,-1.570749,0.025016498,-1.4341784,-1.0884537
Afghanistan,AFG,3,1.7810346,0.6749135,0.98753375,-1.9121586,-1.0716804,-1.192829,-0.81587666,-1.5066286,-1.2673767
Afghanistan,AFG,4,1.1296203,0.5602331,0.8118264,-1.4686214,-0.45925704,-0.04324322,-1.9804798,-1.717034,-0.91850436
Afghanistan,AFG,5,0.59851265,0.6037642,0.8231796,-1.3362739,-0.5372952,-0.69423264,-1.9018135,-1.4243535,0.044839095
Afghanistan,AFG,6,1.1091297,0.5802845,0.009096717,-0.6922701,-0.5697628,-0.27694225,-1.1977278,-1.3808025,-0.3671406
Afghanistan,AFG,7,0.92318267,0.70229816,-0.19681568,-0.6320211,-0.5601765,-0.6367432,-1.1615766,-1.1255789,-0.026331712
Afghanistan,AFG,8,0.3395218,0.32707748,0.016192626,-0.42091465,-0.6314583,-0.82963103,-1.2789692,-1.1536859,-0.3301878
Afghanistan,AFG,9,0.83289415,0.64552784,0.0027078628,-0.53060436,-0.86584586,-0.9702156,-1.3940052,-0.8666557,-0.6561581
Afghanistan,AFG,10,0.43531647,0.7554537,0.35688514,-1.0163486,-1.0598557,-0.45405358,-1.0346386,-0.8821459,0.24243927
Afghanistan,AFG,11,0.98648375,-0.28567132,0.26665956,0.25961065,0.21067993,-0.651558,-1.4852316,-1.3572325,0.12411602
Afghanistan,AFG,12,0.4524548,0.087467685,-0.1749952,0.18792155,-0.34106812,-0.35285106,-1.2686071,-1.0723469,-1.1815697
Africa (NIAID),,1,0.59821576,0.32294425,-0.09582405,-0.2378437,-0.55968416,-0.59600085,-0.80178833,-0.9899311,-1.10073
Africa (NIAID),,2,0.46212673,0.4235018,-0.05597191,-0.48531494,-0.5234417,-0.72103155,-0.82541335,-1.2558308,-1.2784927
Africa (NIAID),,3,0.6790517,0.39628354,-0.03862381,-0.48490182,-0.4946844,-0.9833172,-0.98704416,-1.2425053,-1.5336183
Africa (NIAID),,4,0.68142354,0.30978927,-0.04697857,-0.33703214,-0.46028844,-0.9858524,-1.1046079,-1.3220085,-1.2543161
Africa (NIAID),,5,0.7161335,0.3674675,-0.11987381,-0.34568024,-0.5156376,-1.0179937,-0.97823393,-1.2569529,-1.1975628
Africa (NIAID),,6,0.7011158,0.3187706,-0.14624062,-0.22717038,-0.5522993,-0.94962406,-0.79056513,-1.178529,-1.0726242
Africa (NIAID),,7,0.60589486,0.3526598,-0.03440342,-0.3770439,-0.5693615,-0.95833397,-0.68240815,-1.1316891,-1.1097748
Africa (NIAID),,8,0.543203,0.26872882,-0.0075738905,-0.32189712,-0.5118227,-0.9898704,-0.8212473,-1.296607,-1.0108055
Africa (NIAID),,9,0.594278,0.28531379,-0.05913105,-0.30126876,-0.65620786,-1.002778,-1.159962,-1.2079808,-1.2351948
Africa (NIAID),,10,0.68334615,0.3542469,-0.011157608,-0.40619525,-0.8408785,-1.0159241,-1.1942081,-1.2387155,-1.1099405
Africa (NIAID),,11,0.7231331,0.4464987,-0.08964042,-0.33833066,-0.59756947,-1.0924771,-1.0553658,-1.037908,-1.2360156
Africa (NIAID),,12,0.8888458,0.16506806,0.102785304,-0.3302923,-0.6490637,-0.89997065,-0.9252741,-1.2654579,-1.3849037
Albania,ALB,1,1.5346365,0.03830955,-0.34222066,0.18291993,-0.21759507,0.24559665,-1.2778869,-0.670862,-2.5393443
Albania,ALB,2,1.6054128,1.0699915,-0.61539394,-0.44705796,-0.6257588,0.5744248,-0.81226414,-0.60019845,-1.6850094
Albania,ALB,3,0.56961626,0.86643904,-0.09448304,-0.65915537,-0.6385616,-0.29765263,-0.98299617,-1.202369,-2.2435288
Albania,ALB,4,-0.08667622,0.98975945,0.022425462,-1.0508432,-0.35372153,-0.825465,-0.4061597,-0.64975995,-0.6575891
Albania,ALB,5,0.47962743,-0.16948633,0.45753592,-0.3712634,-0.6305245,-0.60571367,-0.43312103,-0.74329364,-0.3569351
Albania,ALB,6,1.0133518,0.34304255,0.0173563,-0.3336273,-1.2881691,-0.9600954,-1.2597132,-0.4032383,-0.9423803
Albania,ALB,7,1.7560517,0.40949994,0.05163002,-0.5222454,-0.6494013,-1.3819056,-1.2685264,-0.012306976,-0.54124546
Albania,ALB,8,1.0118439,0.60478324,-0.34727725,-0.41912633,-1.0607936,-1.8137171,-1.1382233,-0.22187272,-0.29742718
Albania,ALB,9,1.1691043,0.62674254,-0.7067587,-0.22552928,0.43836346,-0.74125254,-0.004934883,0.39560357,0.59465706
Albania,ALB,10,0.6655985,0.20319958,-0.15588503,0.069040395,-0.1392664,-1.3531566,0.095348835,-0.8842268,-0.69626725
Albania,ALB,11,0.89294624,0.99246943,-0.39768705,-0.49451786,-1.219971,-0.9765816,0.6302741,-0.7649611,-0.8712433
Albania,ALB,12,2.1426234,0.14065588,-0.12710014,-0.43253523,-0.12399483,-0.16402097,0.03999269,0.4958872,-2.0045352
Algeria,DZA,1,1.0633446,0.53715974,-0.3005027,-0.30042887,-0.87627935,-0.031770516,-0.7286309,-1.6760327,-2.0007596
Algeria,DZA,2,1.4704696,0.25538844,-0.0327713,-0.3859434,-0.0962265,-0.53109264,0.10205145,-1.3134569,-1.753857
Algeria,DZA,3,1.3404703,0.30550385,0.5663174,-0.9325787,-0.80537015,-1.5778142,-0.95382655,-1.4273775,-1.8503361
Algeria,DZA,4,1.1666424,0.89482576,-0.02643795,-1.1101195,-0.55922735,-2.1358175,-1.7558569,-2.108174,-1.3402773
Algeria,DZA,5,1.0463024,0.5939962,-0.030813789,-0.827618,-0.92311686,-1.9326013,-1.3940294,-1.829916,-1.7674195
Algeria,DZA,6,1.5315583,0.31195372,-0.032191657,-0.3303934,-0.53941,-1.2582874,-1.7384812,-1.230187,-1.8518003
Algeria,DZA,7,1.1895797,0.48696822,0.09803925,-0.74278945,-1.089085,-1.575669,-1.5722458,-1.7060598,-2.3585455
Algeria,DZA,8,1.0077598,0.22184448,-0.0435585,-0.39612883,-0.79454136,-1.4219745,-1.352017,-1.719306,-2.0581124
Algeria,DZA,9,1.367041,0.49462566,-0.2124073,-0.32248116,-0.83535826,-1.5939821,-1.758918,-1.4229885,-2.2176309
Algeria,DZA,10,1.2260239,0.37460002,0.29296607,-0.6178074,-1.1182525,-1.9799602,-1.7480485,-2.182054,-1.8521658
Algeria,DZA,11,1.3430538,0.5069834,-0.10606384,-0.45381013,-0.31395426,-1.6776011,-0.651285,-1.3816955,-1.4991965
Algeria,DZA,12,1.4615881,0.16215058,0.15725222,-0.58347434,-1.0576867,-0.80040675,-1.6378467,-1.8813236,-2.4213097
American Samoa,ASM,1,0.1969115,0.120055005,0.0055561066,-0.18340874,-0.35291559,-0.50521964,-0.204945,-0.45083427,-0.49734917
American Samoa,ASM,2,0.032246906,0.12915345,-0.06335144,-0.11898804,-0.18995361,-0.34762573,-0.28493348,-0.42560118,-0.44913635
American Samoa,ASM,3,0.33117738,0.1131527,-0.0971653,-0.110644914,-0.12993202,-0.4351841,-0.31066018,-0.39263344,-0.4789219
American Samoa,ASM,4,0.26272926,0.13723794,-0.015371323,-0.2092495,-0.3135311,-0.42557335,-0.39093894,-0.4480709,-0.36017418
American Samoa,ASM,5,0.47007257,0.1383892,0.007886887,-0.203191,-0.35842475,-0.33697397,-0.38704413,-0.2689228,-0.4434437
American Samoa,ASM,6,0.18340531,0.19235916,-0.049663544,-0.1661522,-0.38435286,-0.3432762,-0.3425041,-0.35262376,-0.28258896
American Samoa,ASM,7,0.2703064,0.098846436,-0.043161012,-0.10110474,-0.5140564,-0.43566284,-0.30860597,-0.40317076,-0.26543885
American Samoa,ASM,8,0.09505882,0.112795636,-0.03366127,-0.12771949,-0.62601966,-0.5128544,-0.4251133,-0.4407963,-0.21499367
American Samoa,ASM,9,0.13094902,0.1491497,-0.061128616,-0.079350665,-0.3215351,-0.5293476,-0.3316242,-0.49979132,-0.37113532
American Samoa,ASM,10,0.11680107,0.12447319,0.053596117,-0.16767159,-0.4546772,-0.5684315,-0.4052967,-0.433379,-0.6066639
American Samoa,ASM,11,0.03057747,0.12360115,0.023317337,-0.14916801,-0.4132641,-0.5366619,-0.40760309,-0.78087884,-0.70084345
American Samoa,ASM,12,-0.04208412,0.02470665,0.032146834,-0.054053117,-0.46745032,-0.5922886,-0.4388035,-0.6229404,-0.67576635
Andorra,AND,1,0.77751154,0.26178783,-0.01775012,-0.30358997,-0.8424328,-0.5045024,-1.1966107,-1.5883983,-2.8030772
Andorra,AND,2,3.0074425,-0.5659636,0.11282053,0.4173402,-0.8378051,-0.5280944,-1.1650115,-1.9845855,-1.7061676
Andorra,AND,3,0.7740163,-0.18593542,0.04847316,0.23870449,-1.3036295,-2.1028268,-1.4267404,-0.7284403,-1.3975413
Andorra,AND,4,0.74033296,0.90585726,0.044654272,-1.3058646,-1.251943,-2.0643759,-1.1467336,-1.5052328,0.08891392
Andorra,AND,5,0.3960492,-0.3696185,0.55847293,-0.32740965,-2.0371356,-2.3410754,-0.97942686,-1.2458758,-1.1662952
Andorra,AND,6,0.270384,0.3059004,0.85723704,-1.05515,-1.1753038,-1.9375474,-1.7057207,-1.646895,-0.9670946
Andorra,AND,7,1.1000589,0.3258646,-0.12239285,-0.1994772,-0.25637418,-1.5705588,-1.4831502,-1.0562308,-0.8462332
Andorra,AND,8,0.6043688,0.40081653,-0.30403882,-0.07739391,-0.7667097,-1.8892866,-1.7701002,-1.6648848,-0.8347853
Andorra,AND,9,0.23648243,0.65722215,0.041279793,-0.47694224,0.6386858,-0.8001814,-0.24015331,-0.19679698,0.29357776
Andorra,AND,10,0.89720565,0.9613231,0.19864912,-0.9089467,-0.24673358,-1.9097065,-0.5684468,-1.1793416,-1.1940328
Andorra,AND,11,1.4437276,0.021516895,-0.36802477,0.017107105,0.4551595,-0.92194927,-1.0493357,-0.8644084,-0.92929494
Andorra,AND,12,1.382786,0.8579752,-0.6916158,-0.48426113,-0.45000204,-0.59925437,-2.3317068,-0.79670316,-3.2651544
Angola,AGO,1,0.49378046,0.22129421,-0.16667691,-0.16717319,-0.26777154,-0.6914455,-0.7332331,-0.720912,-0.6674921
Angola,AGO,2,0.70104885,0.36402607,-0.23757954,-0.20790729,-0.31384125,-0.54859143,-0.84807074,-0.60215056,-0.53022194
Angola,AGO,3,0.676233,0.32498378,-0.2918335,-0.11934147,-0.22845821,-0.6540915,-0.8120724,-0.6011114,-0.60974866
Angola,AGO,4,0.45142898,0.24670601,-0.28003997,-0.044718552,-0.26703206,-0.60661185,-0.650243,-0.5937084,-0.39138144
