Entity,Code,Year,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
Afghanistan,AFG,1,-0.56932306,4.5435524,-3.0921192,0.92062986,0.24188042,-1.3170563,1.8286344,2.2859595,0.80005014,2.3523083,2.0118396,0.8092403,-0.44666982,-1.7123986,0.7325849,2.6423743,0.5264122,-5.5957537,-0.8686515,-1.0290338,-1.7561394,2.2594104,2.2624655,1.3290793,-0.8873049,0.6626941,0.85006905,-0.7163459,0.34315187,-2.7958794,-0.43877983,0.34809047,-3.0334883,-0.16276109,-1.2841035,0.23568285,-3.0654192,0.8234904,1.550331,-0.9368459,-0.6863879,-2.0300612,-0.96593106,-0.4486674,0.028731704,-1.453528,0.4237082,-1.7221195,-2.9885888,1.2070678,-2.0972881,-1.8022543,-4.060125,-1.6803087,-1.4787446,-0.37714243,-2.4798884,-1.4045988,-1.5512456,1.7563605,0.83498776,-6.810024,1.0487785,-1.5261506,-0.30038965,0.036869287,-1.090325,1.8198929,-2.9956827,-2.1084356,-0.94819415,-1.0332035,-1.6725036,-1.5691305,-1.8828286,-1.4122177
Afghanistan,AFG,2,0.86792856,0.16392058,3.3264117,1.3052413,4.827371,2.0194168,-0.7919656,2.7621639,0.03945315,1.849127,2.5761096,-3.5342336,0.8698928,-3.855701,-0.60231733,1.1868227,1.6612637,-3.0509634,1.240242,4.7761955,-2.389915,2.080851,1.3400416,0.67595214,0.02112788,-2.4358206,1.6706209,-1.3771546,-2.2605686,0.48078364,-0.28865188,-2.2751217,1.2330282,-1.399322,-2.2213569,-1.0850952,-3.9742358,0.08688307,1.612365,-1.2592335,1.696666,-5.4294434,-0.6822518,-2.8675194,0.3260153,-0.89333004,0.09420824,-0.70654714,-1.2620233,-1.1567255,-2.2254279,-4.361982,1.3579626,-7.8303514,0.020731151,0.36266404,-2.330097,-2.9498441,-0.20316935,2.661882,-1.5867808,-0.7193089,3.4873924,2.0245178,-3.1151125,2.9806855,-2.406158,-0.59566736,-3.608574,-0.40527892,1.1384451,-1.1648341,1.1227853,-0.06240362,-3.5034287,-4.8566694
Afghanistan,AFG,3,0.36176777,-0.7170749,3.5448632,3.9231057,3.2173953,0.35615063,-0.8025322,4.233831,0.4672389,2.012669,-0.7719064,-0.8642831,1.2383938,-1.5767512,-0.312191,3.1246667,1.7864308,3.271687,-0.9692836,1.2787719,0.60430765,3.4716191,-0.47203445,1.7123294,0.53943396,-1.3479247,-1.2017603,-1.2832346,-1.8659978,-1.0565729,-2.7642756,0.20840073,-3.1707141,-3.8432562,-2.0032034,-2.1409712,-1.45503,-0.9296975,1.6390414,-3.7436392,-0.20414639,1.4653134,-3.62378,-3.1187615,0.43721676,-1.183322,-3.0088959,-2.0688252,2.77875,-3.3400187,-2.348919,0.28170824,-0.8985014,-1.978466,0.65754795,-2.0026703,2.417849,-0.6102953,-2.036996,-1.4258361,-2.3627367,0.08569574,-0.19724846,0.3687215,-0.64939547,-3.7485251,-0.61764383,1.1558781,-2.1265535,-1.4703107,0.5054927,-2.202878,-1.9701753,-1.7644348,-3.5061927,-3.0694683
Afghanistan,AFG,4,,-1.4404459,1.2093201,4.1598063,2.1004324,-0.381011,0.77099705,1.2533827,1.1206427,0.05672455,0.8462429,-0.37429714,-0.8876362,0.0970211,0.5763769,2.1428766,-2.2485914,0.90320015,2.3752604,0.5733423,-1.4257307,1.2180815,0.5090904,0.9406662,2.4249191,2.8480263,-0.5053539,0.8311491,-1.9061909,-0.97916985,-1.4447489,-2.8239841,-1.1187572,-3.0784845,-2.314046,-1.3466272,-2.9800253,0.63235474,-0.45570564,-1.4643345,0.44515514,0.3256111,-2.751256,-0.6986494,0.5687456,1.7855339,1.2505722,0.97060204,0.70242596,-1.9396105,-2.1573257,0.5471821,0.5339823,-1.8322315,0.79950523,0.6924658,-1.1670246,-1.4831781,-3.0082407,-2.1849518,-2.8842878,-1.3121271,-0.0015010834,-0.51841927,-3.3740292,-3.8710394,0.68498325,1.6450653,-4.804014,-1.0854836,-2.6490755,-0.9125786,-1.9806509,0.051426888,-3.384966,-4.7350464
Afghanistan,AFG,5,,0.20262146,0.32294273,1.2075062,1.1306744,0.12881851,-0.2939415,-0.65444565,2.456398,2.0443745,0.61619186,-0.6999111,-0.07610321,-0.5269661,2.463581,0.70846367,-0.11227226,1.7069721,0.44475365,2.945444,-2.7469482,0.9137249,-2.588585,0.79859734,3.2560482,3.6140614,-0.61623573,-0.6558342,-2.5355167,-2.22299,-1.3099918,-0.52760315,-0.51122665,-3.9084759,-2.110386,1.0355206,-3.5385828,0.82883835,-0.81803894,-0.5128479,-0.619648,0.19377708,-0.2078743,-1.229784,0.104408264,0.42679977,-3.7272654,0.4022026,-0.45698166,-0.26281166,-1.2412262,-0.9027519,-0.25759888,-2.647459,1.2013149,0.9502506,-1.9356327,-3.3158598,-2.9698267,-1.7068768,-2.170185,-1.4684887,-1.421299,-1.258625,-0.20001793,-2.5713234,-1.3665047,-2.403183,-3.2492723,1.3702335,-3.1555195,-0.32311058,-0.89014435,-1.140377,-1.6594906,-1.4261665
Afghanistan,AFG,6,,0.43910408,1.8280315,0.5179939,1.8696518,0.89086723,-0.7474003,1.1557598,1.9339027,0.9701729,0.5554218,0.4296894,1.2318134,-1.0407429,1.6053829,-0.29115486,-2.671198,2.2784863,0.5775547,0.12248802,-0.41151237,-0.22947502,-0.6212845,0.33136177,1.1531067,-0.4385605,0.042705536,-1.885437,-0.49625397,-0.47057343,-0.72779846,0.10394478,-0.759161,-1.2619133,-1.3302231,-0.13799095,-1.0880966,0.6910019,-1.8211689,-0.47790527,-0.14902878,0.023025513,-0.5222702,-1.0175648,-1.3994789,0.06385803,-0.80410004,0.35204506,0.9255142,-1.1222477,-1.1667633,-1.2848015,1.1373177,-1.506258,1.0655575,-0.36568642,-1.5426064,-1.0220737,-2.0091934,-0.11123085,-1.8673553,-1.533678,-0.0020217896,-2.3915024,-1.0824852,-0.41513062,-0.7106476,-0.83184433,-2.789095,-1.5796013,-1.8281498,-1.5624142,-0.6410389,-0.3734436,-2.6522713,-0.8395195
Afghanistan,AFG,7,,1.0557041,0.4548626,1.065548,1.4267235,0.61307526,1.9579391,1.6479778,1.0686626,0.71131325,0.77744865,0.22528839,0.55059814,0.19905663,0.0867939,-0.20209694,-0.3556614,0.9658718,-0.38812828,0.6111336,-0.085386276,-1.3421688,0.8485546,-1.089056,0.06493759,-1.1982536,-0.81326866,-0.10331154,0.51758385,-1.2578983,0.35597992,-0.35707474,-1.46241,-1.341919,-1.2056274,-0.65226555,-1.4713039,0.8053112,-1.890295,-1.169033,0.30529404,-0.100681305,0.05711937,-1.3176785,-0.6270008,-0.1934967,0.08606911,-0.5516205,0.4652233,0.4458828,-0.5283756,-1.0699234,-0.26707458,-2.6824112,-0.93110657,-1.334095,-1.1706657,-1.4560852,-0.8631115,-1.7218227,-1.4711628,-1.5920353,-1.1736279,-1.0638561,-0.011579514,-1.0918198,-1.4160957,-0.61839104,-2.5922794,-0.53845406,-0.46190453,-1.7974033,-0.7002926,-0.92736053,-1.795784,-0.40782356
Afghanistan,AFG,8,,1.7023239,0.0653286,-1.0099335,-0.2136879,1.1535778,0.71543884,0.8752575,0.18390846,-0.51539993,-0.012483597,0.04378891,0.23331642,0.49333954,1.5425758,-0.28896713,0.89269257,0.12958336,-0.31033897,0.56313133,-0.4565735,-0.5540905,-0.08528519,0.63910675,-0.29201317,-0.36428642,-0.10178566,0.01517868,-0.2724495,-0.9717674,0.42078018,0.8023472,-1.8242817,-1.8559952,-0.79829025,0.37711716,-1.5746365,-0.93953705,0.18124199,-1.7577572,-1.4273262,1.402977,0.5487747,-0.9810505,-1.1151752,-0.6520939,-1.6067009,-0.7540722,-0.28713608,-0.18232536,-0.5438671,-1.9380417,-0.3410797,-3.3651237,-0.5545769,1.2766132,-1.6734753,-1.3778076,-1.1786499,-1.4429054,-2.472908,-0.82253647,-1.1598911,-1.7475166,-0.66080093,-0.25320053,0.81391335,-1.7132988,-2.2665424,-1.551342,0.14634132,-1.6823254,-1.2894192,-1.4153671,-1.4184151,-1.1604042
Afghanistan,AFG,9,,1.2704334,0.41243172,0.9993706,2.0757751,-0.5935402,2.1434708,0.20196152,0.65195084,2.178091,-1.032629,1.6220627,1.5728188,-0.6638241,0.72519684,-0.94382095,0.4575882,0.29644585,-0.35010338,-0.22146606,1.2733784,-0.21821785,-0.38315964,-0.6946125,-0.4519596,0.31918526,0.2516861,0.2359314,-0.09632492,1.1131783,-0.8221569,-3.3908024,-0.11943436,-2.0896893,-0.97122765,0.5827961,-1.0405369,-0.2831211,0.16987419,-1.3047161,-0.7860794,-1.5257988,0.40595627,-2.2948322,-0.9825096,-1.016695,-0.84248924,-0.11728859,-0.9731331,0.03129959,-0.58325195,-1.4524841,-1.1681404,-1.7926598,-2.086111,-0.7178974,-1.9179344,-1.1410294,-0.39424706,-1.6569748,-2.1804752,-1.9115353,-1.0321693,-3.243351,0.621294,-1.0836296,1.6695099,-0.33675385,-2.793993,-0.4479313,-0.19728088,-1.2933445,-1.1535473,-1.7726231,-0.07716942,-2.263424
Afghanistan,AFG,10,,2.2722912,1.6480207,0.5234146,-0.74785805,-1.5192862,1.1702547,-0.9130974,1.7642794,0.3831482,1.406908,0.57186985,1.2199831,-0.46791363,0.4924841,1.9266205,-1.1909866,1.3389044,-2.2286816,3.168583,0.6576395,-1.9098434,0.819726,1.6786938,1.0142527,0.22056389,0.582387,0.10074711,0.1984005,-1.4076319,-0.81504536,-2.125866,-2.6779108,-1.402504,-2.0566807,-0.55938244,-0.029141426,-1.0657129,-2.4289284,0.43222904,-1.2615957,-2.3955135,-1.4090414,-0.4702978,-2.1794453,0.20889091,1.6194744,-0.039720535,1.2080498,-0.01660633,-1.3206348,-3.345111,-0.7263613,-1.1660204,-0.8826313,0.12902546,0.68493557,-1.2405443,-1.9936514,-1.7245274,1.4890156,-3.4233189,0.9282026,-2.111741,-2.1788101,-0.7759476,1.3635979,-0.96494675,-1.9950552,-1.4726887,-1.664093,-2.2840605,-2.2208042,-1.3815355,2.1366644,-0.33853722
