Entity,Code,Year,Nuclear_(percent_direct_primary_energy),Renewables_(percent_direct_primary_energy),Fossil_fuels_(percent_direct_primary_energy)
Africa,,1965,0,2.0179198,97.98208
Africa,,1966,0,2.1548247,97.84517
Africa,,1967,0,2.2293487,97.77065
Africa,,1968,0,2.480353,97.519646
Africa,,1969,0,2.8355663,97.16444
Africa,,1970,0,3.293403,96.7066
Africa,,1971,0,2.9024704,97.097534
Africa,,1972,0,3.138604,96.86139
Africa,,1973,0,3.0604258,96.939575
Africa,,1974,0,3.3318367,96.66817
Africa,,1975,0,3.3228655,96.67713
Africa,,1976,0,3.3949409,96.60506
Africa,,1977,0,3.5441241,96.45587
Africa,,1978,0,3.4342766,96.56572
Africa,,1979,0,3.3693433,96.63065
Africa,,1980,0,3.0378458,96.96215
Africa,,1981,0,2.8003047,97.1997
Africa,,1982,0,2.6205347,97.37946
Africa,,1983,0,2.2798967,97.72011
Africa,,1984,0.19113839,2.177954,97.63091
Africa,,1985,0.24972203,2.336002,97.414276
Africa,,1986,0.4068511,2.3942595,97.19888
Africa,,1987,0.27455923,2.2133234,97.51212
Africa,,1988,0.43810117,2.2637572,97.29814
Africa,,1989,0.46388096,2.377843,97.15828
Africa,,1990,0.3408515,2.3422863,97.31686
Africa,,1991,0.3705137,2.4908874,97.1386
Africa,,1992,0.36970007,2.3370647,97.293236
Africa,,1993,0.287279,2.2821507,97.43057
Africa,,1994,0.37171715,2.2405052,97.38777
Africa,,1995,0.41670045,2.24132,97.34199
Africa,,1996,0.42381576,2.2881658,97.28801
Africa,,1997,0.44603887,2.3007483,97.25321
Africa,,1998,0.47328404,2.379703,97.14701
Africa,,1999,0.43364927,2.4462266,97.12013
Africa,,2000,0.43084258,2.5739274,96.99523
Africa,,2001,0.3426313,2.6739619,96.983406
Africa,,2002,0.37913847,2.791788,96.82907
Africa,,2003,0.38035154,2.5928433,97.0268
Africa,,2004,0.37340808,2.561139,97.065445
Africa,,2005,0.31434858,2.5810316,97.10462
Africa,,2006,0.27381662,2.6451576,97.08103
Africa,,2007,0.29746193,2.635308,97.06723
Africa,,2008,0.32198986,2.53261,97.1454
Africa,,2009,0.3117861,2.5621,97.12612
Africa,,2010,0.3199083,2.7017453,96.97835
Africa,,2011,0.30262133,2.7725494,96.92482
Africa,,2012,0.29171792,2.6830566,97.02523
Africa,,2013,0.30896133,2.776779,96.91425
Africa,,2014,0.29454207,2.9260657,96.77939
Africa,,2015,0.25562632,2.9488986,96.79548
Africa,,2016,0.3052697,2.9154837,96.77924
Africa,,2017,0.27928576,3.0295165,96.6912
Africa,,2018,0.2226676,3.2001112,96.57722
Africa,,2019,0.2500793,3.35831,96.39161
Africa,,2020,0.19833802,3.8213232,95.98034
Africa,,2021,0.22792399,3.7239454,96.04813
Africa,,2022,0.18460795,3.795141,96.02025
