Entity,Code,Year,Annual sea surface temperature anomalies,Annual sea surface temperature anomalies (lower bound),Annual sea surface temperature anomalies (upper bound)
Northern Hemisphere,,1850,-0.05377569,-0.12949374,-0.0016341782
Northern Hemisphere,,1851,0.065855436,-0.008648843,0.119838014
Northern Hemisphere,,1852,0.14943567,0.079158716,0.20090212
Northern Hemisphere,,1853,0.11939116,0.054713983,0.17238548
Northern Hemisphere,,1854,0.09642993,0.034544572,0.14908612
Northern Hemisphere,,1855,0.115259305,0.057101145,0.16714716
Northern Hemisphere,,1856,-0.08537232,-0.1415039,-0.034504708
Northern Hemisphere,,1857,-0.1207711,-0.17367034,-0.0707706
Northern Hemisphere,,1858,-0.16326103,-0.21229255,-0.112864055
Northern Hemisphere,,1859,-0.042234447,-0.0893869,0.008375371
Northern Hemisphere,,1860,0.00033611525,-0.04357584,0.048847068
Northern Hemisphere,,1861,-0.010964751,-0.053666208,0.037775945
Northern Hemisphere,,1862,-0.3098773,-0.34934968,-0.26371944
Northern Hemisphere,,1863,-0.11064078,-0.14814155,-0.061106328
Northern Hemisphere,,1864,-0.049253363,-0.08476967,-0.0036017327
Northern Hemisphere,,1865,0.11759963,0.08356621,0.1606301
Northern Hemisphere,,1866,0.07540162,0.040507305,0.1210286
Northern Hemisphere,,1867,0.117594466,0.08643371,0.16073558
Northern Hemisphere,,1868,0.22363818,0.18996768,0.2703685
Northern Hemisphere,,1869,0.09568549,0.058569014,0.14441329
Northern Hemisphere,,1870,0.16128114,0.12572159,0.21296033
Northern Hemisphere,,1871,0.0037788164,-0.030011943,0.05584759
Northern Hemisphere,,1872,-0.008240189,-0.040141106,0.03636545
Northern Hemisphere,,1873,-0.0732946,-0.10676743,-0.022518141
Northern Hemisphere,,1874,-0.115535475,-0.14698064,-0.060780838
Northern Hemisphere,,1875,-0.033076096,-0.069169804,0.028114133
Northern Hemisphere,,1876,-0.056747787,-0.092685446,0.0007571528
Northern Hemisphere,,1877,0.33770362,0.2993071,0.39539042
Northern Hemisphere,,1878,0.32586098,0.28934014,0.38923788
Northern Hemisphere,,1879,0.025421236,-0.015220791,0.0850078
Northern Hemisphere,,1880,0.013370317,-0.030145172,0.07049625
Northern Hemisphere,,1881,0.0365005,-0.007824063,0.099914566
Northern Hemisphere,,1882,-0.06255149,-0.11322651,-0.00076357636
Northern Hemisphere,,1883,-0.094309114,-0.14093003,-0.036819663
Northern Hemisphere,,1884,-0.17468826,-0.22463894,-0.11652625
Northern Hemisphere,,1885,-0.06659622,-0.11491249,-0.008227755
Northern Hemisphere,,1886,-0.10640733,-0.159635,-0.04566451
Northern Hemisphere,,1887,-0.1536146,-0.21036588,-0.093048535
Northern Hemisphere,,1888,0.07797031,0.020557543,0.13648182
Northern Hemisphere,,1889,0.10213209,0.04376664,0.15993051
Northern Hemisphere,,1890,-0.21802211,-0.27951676,-0.15589266
Northern Hemisphere,,1891,-0.0038647908,-0.06505101,0.0607569
Northern Hemisphere,,1892,-0.22494547,-0.28801104,-0.16059862
Northern Hemisphere,,1893,-0.26156205,-0.32987875,-0.1959735
Northern Hemisphere,,1894,-0.28330797,-0.35063073,-0.21873994
Northern Hemisphere,,1895,-0.1031997,-0.17551036,-0.036134426
Northern Hemisphere,,1896,0.09735752,0.023785967,0.16507183
Northern Hemisphere,,1897,0.08822413,0.014264671,0.15669256
Northern Hemisphere,,1898,-0.106544726,-0.18555291,-0.035435136
Northern Hemisphere,,1899,-0.053191952,-0.13399307,0.019509675
Northern Hemisphere,,1900,0.10587623,0.023946054,0.17993578
Northern Hemisphere,,1901,-0.064644985,-0.14927888,0.017273884
Northern Hemisphere,,1902,-0.20702745,-0.29491374,-0.12528141
Northern Hemisphere,,1903,-0.30876577,-0.40032053,-0.22342707
Northern Hemisphere,,1904,-0.39156798,-0.48439234,-0.30435857
Northern Hemisphere,,1905,-0.21646121,-0.31073734,-0.13330542
Northern Hemisphere,,1906,-0.15283729,-0.25130576,-0.0636352
Northern Hemisphere,,1907,-0.2663756,-0.3409398,-0.17453836
Northern Hemisphere,,1908,-0.34809202,-0.4103759,-0.2602031
Northern Hemisphere,,1909,-0.35358712,-0.40668097,-0.26846167
Northern Hemisphere,,1910,-0.37012732,-0.4290509,-0.29465866
Northern Hemisphere,,1911,-0.28927574,-0.35143292,-0.21649471
Northern Hemisphere,,1912,-0.24588886,-0.31235912,-0.17519484
Northern Hemisphere,,1913,-0.35903797,-0.42591542,-0.28992924
Northern Hemisphere,,1914,-0.16377784,-0.22510032,-0.08438932
